	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene																															
LITAF.4	0	1.571588099	0.832	0.358	0	IFN Mac	LITAF																															
HLA-DMA.4	0	1.570382221	0.782	0.217	0	Breg	HLA-DMA																															
HLA-DRB1.19	0	1.569658364	0.882	0.359	0	LAM2	HLA-DRB1																															
CD79B.7	0	1.569407227	0.438	0.064	0	IgA immature	CD79B																															
PTPN1.4	0	1.569403861	0.816	0.183	0	mRegDC	PTPN1																															
CD74.12	1.49E-94	1.569026267	0.93	0.618	5.77E-90	IgA immature	CD74																															
TNFRSF9	0	1.569001263	0.309	0.025	0	CD8+ TEX	TNFRSF9																															
RAC2.7	0	1.568511902	0.797	0.298	0	CD4+ TREG	RAC2																															
PDCD1	0	1.567498586	0.453	0.045	0	CD4+ TFH	PDCD1																															
MNDA.3	0	1.567377813	0.654	0.061	0	IFN Mac	MNDA																															
CCL3.8	0	1.566372971	0.555	0.105	0	IFN Mac	CCL3																															
FYB1.4	0	1.565760754	0.744	0.244	0	CD4+ TFH	FYB1																															
TRBC1.2	0	1.56460528	0.533	0.14	0	CD4+ TFH	TRBC1																															
EAF2	0	1.5644974	0.626	0.04	0	GC B	EAF2																															
SMIM14.3	0	1.564160702	0.564	0.21	0	Breg	SMIM14																															
FCGR2A.2	0	1.563837453	0.654	0.076	0	Mono-like Mac	FCGR2A																															
NFKBIA.16	7.77E-201	1.562846033	0.902	0.4	3.00E-196	mRegDC	NFKBIA																															
HERPUD1.3	2.78E-228	1.562708335	0.75	0.37	1.08E-223	IgG immature	HERPUD1																															
YWHAH.9	4.52E-99	1.56263486	0.705	0.247	1.75E-94	AXL_DC	YWHAH																															
LAPTM5.35	0	1.562472061	0.931	0.357	0	LAM2	LAPTM5																															
CFP.7	0	1.562059133	0.617	0.024	0	mRegDC	CFP																															
ITGAE	0	1.559066676	0.46	0.168	0	CD8+ TEX	ITGAE																															
ITGB2.15	0	1.558999339	0.842	0.25	0	IFN Mac	ITGB2																															
TVP23A	0	1.557265823	0.565	0.011	0	mRegDC	TVP23A																															
EVL.9	0	1.556566436	0.772	0.322	0	CD8+ TEX	EVL																															
LSP1.8	0	1.556472315	0.772	0.324	0	CD8+ TEX	LSP1																															
RPS20	5.17E-117	1.555740851	0.95	0.679	2.00E-112	GC B	RPS20																															
RAC2.14	0	1.555442637	0.858	0.311	0	Prolif T	RAC2																															
CD40LG.2	0	1.554946645	0.318	0.036	0	CD4+ TH1	CD40LG																															
CALHM6.1	0	1.554715766	0.516	0.065	0	Mono-like Mac	CALHM6																															
SLA.1	0	1.554293268	0.535	0.138	0	CD4+ TH1	SLA																															
HLA-DMA.6	0	1.55372516	0.785	0.214	0	Mono-like Mac	HLA-DMA																															
LILRB4.13	0	1.553565801	0.698	0.059	0	AXL_DC	LILRB4																															
PLEK.14	0	1.552775767	0.728	0.097	0	LAM2	PLEK																															
LGALS2.6	0	1.552648272	0.581	0.032	0	AXL_DC	LGALS2																															
CCL3.6	0	1.552195971	0.496	0.103	0	Mono-like Mac	CCL3																															
MCEMP1	0	1.551062664	0.349	0.01	0	Mono-like Mac	MCEMP1																															
GRN.22	0	1.550714018	0.85	0.355	0	LAM2	GRN																															
GPX1.9	4.61E-50	1.54860337	0.54	0.239	1.78E-45	AXL_DC	GPX1																															
SLA	0	1.548526545	0.566	0.136	0	CD4+ TFH	SLA																															
NET1.1	0	1.547893448	0.692	0.129	0	mRegDC	NET1																															
IL1B.4	0	1.547789384	0.372	0.044	0	IFN Mac	IL1B																															
HBEGF.4	0	1.544755447	0.527	0.049	0	AXL_DC	HBEGF																															
PLAAT3.1	2.89E-218	1.54327489	0.527	0.129	1.12E-213	mRegDC	PLAAT3																															
ETV3.1	0	1.542337457	0.69	0.059	0	mRegDC	ETV3																															
ARHGAP10.1	0	1.540093472	0.671	0.058	0	mRegDC	ARHGAP10																															
NINJ1.1	0	1.539610289	0.759	0.231	0	IFN Mac	NINJ1																															
NCCRP1	0	1.538779491	0.384	0.008	0	mRegDC	NCCRP1																															
NR3C1.1	0	1.538163211	0.597	0.246	0	CD4+ TH1	NR3C1																															
CD52.11	0	1.538015588	0.869	0.323	0	CD8+ TEX	CD52																															
HVCN1.4	0	1.535332847	0.483	0.047	0	Breg	HVCN1																															
BATF	0	1.533528823	0.552	0.122	0	CD4+ TFH	BATF																															
CD96.4	0	1.532779503	0.51	0.101	0	CD8+ TEX	CD96																															
S100A11.15	0	1.531897015	0.991	0.676	0	LAM2	S100A11																															
HLA-DQA2.3	0	1.531463424	0.466	0.067	0	IFN Mac	HLA-DQA2																															
DUT	0	1.531431079	0.7	0.344	0	Prolif T	DUT																															
IRF8.4	0	1.5308916	0.521	0.06	0	Breg	IRF8																															
IFNG.2	0	1.530457353	0.408	0.048	0	Prolif T	IFNG																															
ADAM28.3	0	1.530153204	0.458	0.05	0	Breg	ADAM28																															
ENTPD1.1	0	1.5281446	0.385	0.102	0	CD8+ TEX	ENTPD1																															
LCP1.37	5.09E-280	1.527862807	0.876	0.268	1.97E-275	mRegDC	LCP1																															
SPIB	0	1.527259827	0.598	0.013	0	GC B	SPIB																															
RGS1.2	0	1.526584992	0.669	0.232	0	CD4+ TFH	RGS1																															
TGFBI.1	0	1.526545532	0.696	0.161	0	Mono-like Mac	TGFBI																															
PLIN2.1	0	1.526215587	0.543	0.195	0	Mono-like Mac	PLIN2																															
FKBP11.3	0	1.525964581	0.695	0.182	0	IgG immature	FKBP11																															
CYBA.22	0	1.524879015	0.926	0.547	0	IFN Mac	CYBA																															
PTPN7.1	0	1.524509778	0.584	0.135	0	CD4+ TH1	PTPN7																															
SLAMF8.1	0	1.524398992	0.634	0.038	0	IFN Mac	SLAMF8																															
TBC1D4	0	1.524178219	0.404	0.073	0	CD4+ TREG	TBC1D4																															
PRDX4.1	0	1.524060767	0.69	0.289	0	IgG mature	PRDX4																															
PRDX4.3	0	1.523750558	0.748	0.292	0	IgA mature	PRDX4																															
CTSH.5	0	1.521667169	0.753	0.227	0	Mono-like Mac	CTSH																															
UBE2J1.4	0	1.520896027	0.681	0.211	0	IgA mature	UBE2J1																															
LCK.9	0	1.520504442	0.65	0.172	0	CD8+ TEX	LCK																															
NFKB1.1	0	1.520474401	0.748	0.099	0	mRegDC	NFKB1																															
PIM2.2	0	1.518382829	0.523	0.103	0	IgG mature	PIM2																															
SAMSN1.3	0	1.516976346	0.498	0.131	0	CD8+ TEX	SAMSN1																															
HLA-DQA2.14	2.05E-209	1.516598875	0.379	0.068	7.91E-205	mRegDC	HLA-DQA2																															
GPR183.15	0	1.515792626	0.627	0.121	0	mRegDC	GPR183																															
LAG3.4	0	1.5136631	0.493	0.079	0	Prolif T	LAG3																															
ATP5MG	3.40E-126	1.512231863	0.961	0.681	1.32E-121	GC B	ATP5MG																															
TBC1D4.1	0	1.510575907	0.659	0.085	0	mRegDC	TBC1D4																															
TRBC1.3	0	1.509278316	0.524	0.142	0	CD4+ TH1	TRBC1																															
HNRNPA1	5.03E-129	1.50892686	0.953	0.68	1.95E-124	GC B	HNRNPA1																															
DUSP4	0	1.507210634	0.497	0.148	0	CD4+ TFH	DUSP4																															
BLK.4	0	1.507192261	0.45	0.014	0	Breg	BLK																															
CSF1R.1	0	1.506839831	0.598	0.055	0	Mono-like Mac	CSF1R																															
STK4.6	6.28E-298	1.506804126	0.863	0.271	2.43E-293	mRegDC	STK4																															
LY86.4	0	1.506757511	0.494	0.057	0	Breg	LY86																															
ARPC2.2	6.68E-136	1.50669874	0.961	0.628	2.58E-131	GC B	ARPC2																															
ATF5.10	0	1.50630043	0.654	0.14	0	mRegDC	ATF5																															
TNFRSF17.4	0	1.50613505	0.563	0.011	0	IgA mature	TNFRSF17																															
MS4A7.2	0	1.505528919	0.628	0.078	0	Mono-like Mac	MS4A7																															
APOE	7.68E-157	1.503715496	0.567	0.285	2.97E-152	IFN Mac	APOE																															
DUSP1.6	0	1.503670966	0.896	0.428	0	Mono-like Mac	DUSP1																															
LILRB2.2	0	1.503591746	0.494	0.034	0	Mono-like Mac	LILRB2																															
HSP90B1.4	0	1.502641291	0.848	0.519	0	IgA mature	HSP90B1																															
MRC1.1	0	1.502067392	0.466	0.04	0	IFN Mac	MRC1																															
LINC01943.1	0	1.50147496	0.298	0.022	0	CD4+ TREG	LINC01943																															
LAT.3	0	1.499172311	0.609	0.15	0	CD4+ TFH	LAT																															
CYB561A3	4.02E-285	1.498291222	0.69	0.114	1.55E-280	GC B	CYB561A3																															
PTTG1.2	4.25E-190	1.498235202	0.739	0.142	1.64E-185	Plasmablast	PTTG1																															
ITM2A.1	0	1.497127699	0.637	0.166	0	CD4+ TH1	ITM2A																															
SUGCT	0	1.494897297	0.439	0.032	0	GC B	SUGCT																															
CDCA7	0	1.494774956	0.559	0.052	0	GC B	CDCA7																															
DUSP5.2	0	1.494391449	0.602	0.04	0	mRegDC	DUSP5																															
CTSD.4	9.98E-266	1.494026278	0.748	0.389	3.86E-261	IFN Mac	CTSD																															
COTL1.19	1.73E-123	1.493637622	0.825	0.265	6.69E-119	AXL_DC	COTL1																															
ITGAX.13	0	1.493482074	0.657	0.041	0	AXL_DC	ITGAX																															
RAB27A.1	0	1.493094521	0.464	0.128	0	CD8+ TEX	RAB27A																															
FPR3.1	0	1.488500803	0.592	0.042	0	IFN Mac	FPR3																															
ISG20.2	0	1.487642189	0.691	0.269	0	CD4+ TREG	ISG20																															
SLA.3	0	1.486426481	0.473	0.131	0	CD8+ TEX	SLA																															
FPR3	0	1.485991806	0.508	0.039	0	Mono-like Mac	FPR3																															
CORO1B.1	0	1.485331967	0.587	0.286	0	CD4+ TREG	CORO1B																															
MAP3K14	0	1.484313319	0.59	0.045	0	mRegDC	MAP3K14																															
LY75	0	1.483539635	0.651	0.035	0	mRegDC	LY75																															
FPR1.10	0	1.483246791	0.638	0.041	0	AXL_DC	FPR1																															
PBXIP1	0	1.482566468	0.515	0.155	0	CD4+ TREG	PBXIP1																															
CD3E.3	0	1.482315217	0.852	0.23	0	CD4+ TFH	CD3E																															
STMN1.3	2.01E-116	1.482041819	0.895	0.298	7.79E-112	Plasmablast	STMN1																															
LCK.4	0	1.481151655	0.718	0.183	0	CD4+ TH1	LCK																															
UBE2C.2	2.42E-267	1.47943326	0.592	0.07	9.37E-263	Plasmablast	UBE2C																															
CLEC2B.2	0	1.478853585	0.582	0.229	0	CD8+ TEX	CLEC2B																															
NR4A3.5	0	1.478435204	0.575	0.046	0	mRegDC	NR4A3																															
CD1A	0	1.478225072	0.41	0.005	0	AXL_DC	CD1A																															
CMTM6.14	6.95E-285	1.476822154	0.848	0.285	2.69E-280	mRegDC	CMTM6																															
TUBA1C.3	1.10E-251	1.475981254	0.798	0.257	4.27E-247	mRegDC	TUBA1C																															
FCGR1A.1	0	1.475300055	0.577	0.038	0	IFN Mac	FCGR1A																															
LIMD2.22	0	1.474461433	0.799	0.288	0	Breg	LIMD2																															
CD2.12	0	1.473802598	0.827	0.214	0	Prolif T	CD2																															
PLAUR.4	0	1.473513929	0.692	0.148	0	IFN Mac	PLAUR																															
CXCL16.3	0	1.473367518	0.675	0.131	0	IFN Mac	CXCL16																															
CLEC7A.2	0	1.47325887	0.605	0.064	0	Mono-like Mac	CLEC7A																															
IL2RG.5	0	1.472623118	0.519	0.166	0	CD4+ TREG	IL2RG																															
FAM49A.6	0	1.472522927	0.686	0.056	0	mRegDC	FAM49A																															
NCF1.4	0	1.471910957	0.603	0.137	0	Breg	NCF1																															
SOD2.11	0	1.470012384	0.795	0.28	0	LAM2	SOD2																															
CMTM6.11	2.64E-147	1.469118575	0.86	0.286	1.02E-142	AXL_DC	CMTM6																															
CD63.18	0	1.467466924	0.956	0.587	0	LAM2	CD63																															
PCLAF.2	0	1.466512083	0.507	0.047	0	Plasmablast	PCLAF																															
CTSW.5	0	1.466027126	0.564	0.128	0	Prolif T	CTSW																															
IRF4.3	0	1.465287163	0.617	0.03	0	mRegDC	IRF4																															
LAT.5	0	1.465133442	0.579	0.139	0	CD4+ TREG	LAT																															
SYNGR2.2	0	1.464283985	0.725	0.32	0	Breg	SYNGR2																															
CLEC5A	0	1.463934353	0.412	0.021	0	Mono-like Mac	CLEC5A																															
ARHGDIB.7	0	1.463929206	0.899	0.449	0	CD4+ TREG	ARHGDIB																															
LAT2.5	0	1.462595457	0.511	0.067	0	Breg	LAT2																															
TMPO	0	1.462562616	0.623	0.165	0	Prolif T	TMPO																															
SSR3	1.57E-74	1.461144298	0.725	0.38	6.07E-70	Plasmablast	SSR3																															
SNHG25	0	1.461067672	0.603	0.077	0	GC B	SNHG25																															
CTSH.2	0	1.457913152	0.669	0.23	0	Breg	CTSH																															
CORO1A.6	0	1.457465777	0.839	0.322	0	CD4+ TREG	CORO1A																															
SH3BGRL3.10	0	1.457328443	0.983	0.689	0	Mono-like Mac	SH3BGRL3																															
CHST12	0	1.457125604	0.469	0.165	0	CD8+ TEX	CHST12																															
CD300E.2	0	1.456951476	0.373	0.012	0	Mono-like Mac	CD300E																															
CXCL16.2	2.24E-204	1.454009593	0.427	0.133	8.67E-200	Inflam Mac	CXCL16																															
CD82.2	5.02E-307	1.453999129	0.545	0.205	1.94E-302	CD4+ TH1	CD82																															
ZCCHC7	2.25E-239	1.451995538	0.665	0.122	8.70E-235	GC B	ZCCHC7																															
IL2RG.7	0	1.450902379	0.502	0.17	0	CD8+ TEX	IL2RG																															
MS4A6A.15	1.64E-287	1.450553138	0.686	0.088	6.32E-283	AXL_DC	MS4A6A																															
CD83.3	0	1.45039581	0.466	0.099	0	Breg	CD83																															
CD3G.3	0	1.448945192	0.627	0.142	0	CD4+ TH1	CD3G																															
MBD4	2.44E-195	1.448311685	0.709	0.169	9.43E-191	GC B	MBD4																															
CD163.2	0	1.446526667	0.534	0.052	0	IFN Mac	CD163																															
FOS.5	0	1.446405708	0.945	0.509	0	Mono-like Mac	FOS																															
SELL.1	0	1.445488993	0.477	0.09	0	CD4+ TREG	SELL																															
CTSL.1	0	1.444774802	0.655	0.22	0	IFN Mac	CTSL																															
TNFRSF13C.2	0	1.444475134	0.561	0.013	0	GC B	TNFRSF13C																															
MAFB.2	0	1.444444037	0.604	0.137	0	Mono-like Mac	MAFB																															
CD74.24	0	1.444284237	0.972	0.617	0	LAM2	CD74																															
SLAMF7.3	0	1.443875129	0.553	0.044	0	IFN Mac	SLAMF7																															
ARPC4	3.16E-174	1.443609768	0.768	0.214	1.22E-169	GC B	ARPC4																															
RAC2.11	0	1.442432981	0.763	0.304	0	CD8+ TEX	RAC2																															
CCL3.17	2.74E-120	1.442327223	0.517	0.107	1.06E-115	AXL_DC	CCL3																															
TIMP1.19	4.52E-93	1.440528563	0.908	0.421	1.75E-88	AXL_DC	TIMP1																															
SH2D2A.4	0	1.439953878	0.455	0.098	0	CD8+ TEX	SH2D2A																															
FCGRT.10	0	1.439121283	0.786	0.292	0	IFN Mac	FCGRT																															
HLA-DQA1.6	0	1.438808052	0.718	0.179	0	Mono-like Mac	HLA-DQA1																															
PLIN2.9	0	1.438723514	0.705	0.197	0	LAM2	PLIN2																															
H2AFV.1	1.70E-85	1.438658861	0.732	0.35	6.57E-81	GC B	H2AFV																															
RPS17	4.85E-112	1.438419848	0.95	0.553	1.87E-107	GC B	RPS17																															
TRBC2.12	0	1.43758514	0.74	0.186	0	Prolif T	TRBC2																															
CTSB.27	8.66E-99	1.437546457	0.937	0.44	3.35E-94	AXL_DC	CTSB																															
EAF2.1	0	1.437425795	0.631	0.041	0	Plasmablast	EAF2																															
HMGA1.1	4.64E-111	1.437068391	0.775	0.242	1.79E-106	Plasmablast	HMGA1																															
LCP1.33	4.50E-134	1.436452387	0.87	0.269	1.74E-129	AXL_DC	LCP1																															
CKS2	0	1.436385626	0.583	0.169	0	Prolif T	CKS2																															
BTG1.5	0	1.43432497	0.912	0.563	0	CD4+ TREG	BTG1																															
LAMP3	0	1.433101129	0.429	0.024	0	AXL_DC	LAMP3																															
RNGTT	0	1.432964522	0.561	0.06	0	GC B	RNGTT																															
SRGN.10	0	1.432955376	0.921	0.409	0	CD8+ TEX	SRGN																															
KLF6.14	2.85E-191	1.432552527	0.932	0.453	1.10E-186	mRegDC	KLF6																															
CD53.18	0	1.43167351	0.744	0.234	0	Breg	CD53																															
CORO1A.10	0	1.43142383	0.813	0.328	0	CD8+ TEX	CORO1A																															
MATK.6	0	1.430687358	0.63	0.052	0	LAM2	MATK																															
PFKFB3	6.89E-194	1.43068496	0.348	0.094	2.67E-189	Inflam Mac	PFKFB3																															
NCF2.3	0	1.429906171	0.395	0.059	0	Inflam Mac	NCF2																															
GSTP1.12	6.01E-211	1.42903107	0.971	0.58	2.32E-206	mRegDC	GSTP1																															
PTPRC.4	0	1.427783715	0.854	0.316	0	CD4+ TFH	PTPRC																															
FCGR2A.16	0	1.425926207	0.689	0.08	0	AXL_DC	FCGR2A																															
PTPRC.6	0	1.425223229	0.82	0.301	0	CD4+ TREG	PTPRC																															
IKZF3.1	0	1.424371649	0.44	0.086	0	CD8+ TEX	IKZF3																															
CLEC5A.4	0	1.42350485	0.501	0.023	0	LAM2	CLEC5A																															
MARCH1.4	0	1.423306733	0.461	0.065	0	Breg	Mar-01																															
ALOX5AP.24	1.17E-125	1.422704729	0.794	0.228	4.53E-121	AXL_DC	ALOX5AP																															
GSTO1.7	0	1.422651558	0.871	0.331	0	LAM2	GSTO1																															
PLD3.5	9.66E-278	1.422294088	0.688	0.294	3.73E-273	LAM2	PLD3																															
PIK3IP1.1	0	1.421866087	0.529	0.141	0	CD4+ TFH	PIK3IP1																															
SDF2L1.3	0	1.421562248	0.721	0.262	0	IgA mature	SDF2L1																															
NCF1.9	0	1.421029205	0.604	0.137	0	IFN Mac	NCF1																															
CXCL16.10	0	1.420615253	0.709	0.131	0	LAM2	CXCL16																															
CDK1	0	1.420010677	0.488	0.041	0	Prolif T	CDK1																															
HLA-DRB1.11	2.26E-197	1.419638636	0.738	0.36	8.75E-193	Inflam Mac	HLA-DRB1																															
PTPRC.10	0	1.418909407	0.799	0.307	0	CD8+ TEX	PTPRC																															
CYBB.10	0	1.418817933	0.622	0.072	0	LAM2	CYBB																															
BIRC3.1	0	1.418649664	0.516	0.157	0	CD4+ TFH	BIRC3																															
BLK.3	0	1.418556346	0.556	0.016	0	GC B	BLK																															
SAT1.12	0	1.418291477	0.965	0.561	0	LAM2	SAT1																															
SUSD3	4.29E-251	1.416372371	0.617	0.096	1.66E-246	GC B	SUSD3																															
BCL2A1.6	0	1.415501958	0.617	0.096	0	IFN Mac	BCL2A1																															
CEBPB.1	0	1.415404175	0.613	0.191	0	Mono-like Mac	CEBPB																															
LILRB2.10	0	1.414059163	0.549	0.038	0	AXL_DC	LILRB2																															
CD36.3	0	1.413943008	0.391	0.058	0	LAM2	CD36																															
VOPP1.6	0	1.41373273	0.716	0.172	0	mRegDC	VOPP1																															
H2AFV	0	1.41223998	0.717	0.347	0	Prolif T	H2AFV																															
IL4I1.2	0	1.411963772	0.311	0.049	0	Inflam Mac	IL4I1																															
ITGB2.27	4.87E-156	1.411751469	0.883	0.252	1.88E-151	AXL_DC	ITGB2																															
OSTF1.10	1.01E-279	1.411624808	0.816	0.262	3.89E-275	mRegDC	OSTF1																															
S100A9.3	0	1.411539458	0.652	0.167	0	Inflam Mac	S100A9																															
PCNA	0	1.410253953	0.527	0.153	0	Prolif T	PCNA																															
HCK.2	0	1.40854952	0.556	0.053	0	Mono-like Mac	HCK																															
PIM2.1	1.42E-210	1.408305245	0.66	0.108	5.47E-206	Plasmablast	PIM2																															
GK.6	0	1.40814901	0.698	0.082	0	AXL_DC	GK																															
FCRLA.3	0	1.407776456	0.388	0.018	0	Breg	FCRLA																															
SIT1.3	0	1.407148122	0.454	0.099	0	CD8+ TEX	SIT1																															
LAPTM5.26	0	1.406259212	0.925	0.354	0	Mono-like Mac	LAPTM5																															
ITGAX.9	0	1.404779116	0.627	0.04	0	LAM2	ITGAX																															
PSMB9.7	0	1.404428795	0.854	0.429	0	Prolif T	PSMB9																															
SCIMP.2	0	1.402480464	0.415	0.03	0	Breg	SCIMP																															
KCTD12.1	0	1.401572731	0.618	0.111	0	Mono-like Mac	KCTD12																															
CLEC5A.1	0	1.400201362	0.3	0.024	0	Inflam Mac	CLEC5A																															
CD83.2	2.78E-142	1.399677521	0.503	0.1	1.08E-137	GC B	CD83																															
TXN.11	3.29E-33	1.399297504	0.902	0.55	1.27E-28	AXL_DC	TXN																															
SAMHD1.3	0	1.398819263	0.763	0.212	0	IFN Mac	SAMHD1																															
LGALS3.10	0	1.398326219	0.851	0.414	0	IFN Mac	LGALS3																															
VIM.7	0	1.397681593	0.986	0.685	0	LAM2	VIM																															
SDC2.1	0	1.397596161	0.628	0.138	0	LAM2	SDC2																															
BID.6	1.03E-187	1.397596148	0.73	0.162	4.00E-183	AXL_DC	BID																															
FPR3.10	0	1.397438676	0.673	0.043	0	AXL_DC	FPR3																															
FNBP1.5	0	1.397116476	0.838	0.222	0	mRegDC	FNBP1																															
GRINA.12	1.65E-244	1.396040555	0.811	0.285	6.39E-240	mRegDC	GRINA																															
RPS10.1	3.28E-105	1.39553315	0.866	0.425	1.27E-100	GC B	RPS10																															
CKS2.2	2.24E-181	1.395319072	0.797	0.173	8.66E-177	Plasmablast	CKS2																															
AQP9	0	1.395150124	0.367	0.047	0	Inflam Mac	AQP9																															
HLA-DPA1.17	0	1.39414725	0.876	0.353	0	LAM2	HLA-DPA1																															
HMGN1.1	9.54E-46	1.393620642	0.925	0.515	3.69E-41	Plasmablast	HMGN1																															
ARPC1B.1	4.67E-124	1.393335934	0.899	0.419	1.81E-119	GC B	ARPC1B																															
HLA-DRB5.14	0	1.392019381	0.718	0.22	0	LAM2	HLA-DRB5																															
SH3BGRL3.2	0	1.391864984	0.95	0.685	0	CD8+ TEX	SH3BGRL3																															
ACTR3.1	2.83E-133	1.391764589	0.919	0.433	1.10E-128	GC B	ACTR3																															
ATP6V0B.6	0	1.391115635	0.871	0.427	0	LAM2	ATP6V0B																															
SLC7A11	0	1.390954972	0.457	0.027	0	AXL_DC	SLC7A11																															
H2AFX	0	1.389360751	0.528	0.132	0	Prolif T	H2AFX																															
VNN2	0	1.389107625	0.595	0.02	0	GC B	VNN2																															
H3F3A	4.33E-125	1.387792668	0.975	0.718	1.68E-120	GC B	H3F3A																															
PEA15.6	3.39E-146	1.387338217	0.794	0.226	1.31E-141	AXL_DC	PEA15																															
TK1	0	1.387029098	0.476	0.06	0	Prolif T	TK1																															
GRN.14	0	1.386811713	0.832	0.353	0	Mono-like Mac	GRN																															
MMP9.5	6.26E-203	1.386370863	0.359	0.036	2.42E-198	AXL_DC	MMP9																															
RFTN1.3	0	1.385698622	0.733	0.09	0	mRegDC	RFTN1																															
RBPJ	0	1.383640828	0.592	0.273	0	CD4+ TFH	RBPJ																															
CORO1A.5	0	1.38297529	0.84	0.339	0	CD4+ TH1	CORO1A																															
APOBEC3C	0	1.382743267	0.402	0.125	0	CD8+ TEX	APOBEC3C																															
RALA.4	6.43E-146	1.379378926	0.794	0.237	2.48E-141	AXL_DC	RALA																															
NCF2.15	0	1.379163868	0.606	0.059	0	AXL_DC	NCF2																															
GCHFR	2.68E-194	1.3789567	0.698	0.154	1.04E-189	GC B	GCHFR																															
TPD52	2.82E-198	1.377752699	0.67	0.144	1.09E-193	GC B	TPD52																															
GZMH.4	0	1.377740321	0.455	0.078	0	Prolif T	GZMH																															
LILRB1.4	0	1.376559265	0.559	0.04	0	IFN Mac	LILRB1																															
IL4R	4.72E-242	1.375884754	0.612	0.1	1.82E-237	GC B	IL4R																															
RAC2.6	0	1.375131869	0.792	0.315	0	CD4+ TH1	RAC2																															
MRC1	0	1.374902926	0.395	0.038	0	Mono-like Mac	MRC1																															
CTSC	0	1.374887986	0.627	0.309	0	CD4+ TREG	CTSC																															
ACAP1.9	0	1.374745651	0.584	0.194	0	CD8+ TEX	ACAP1																															
CTLA4.3	0	1.374553881	0.37	0.048	0	CD8+ TEX	CTLA4																															
IER3.4	0	1.374238212	0.617	0.215	0	IFN Mac	IER3																															
GPR137B.4	5.43E-243	1.373441915	0.616	0.09	2.10E-238	AXL_DC	GPR137B																															
PPP1R14A.2	0	1.373304715	0.433	0.052	0	mRegDC	PPP1R14A																															
CENPM	0	1.372663246	0.5	0.052	0	Prolif T	CENPM																															
HLA-DQA1.15	0	1.37195719	0.698	0.182	0	LAM2	HLA-DQA1																															
C1orf162.4	0	1.371668717	0.676	0.114	0	IFN Mac	C1orf162																															
BATF.1	0	1.37112839	0.494	0.124	0	CD4+ TH1	BATF																															
TMEM243	3.03E-172	1.370254413	0.729	0.187	1.17E-167	GC B	TMEM243																															
VPREB3.4	0	1.368882801	0.333	0.017	0	Breg	VPREB3																															
PTPRE.3	1.69E-215	1.368562068	0.428	0.128	6.54E-211	Inflam Mac	PTPRE																															
CD247.1	0	1.367587197	0.565	0.127	0	CD4+ TH1	CD247																															
PILRA.4	0	1.366999767	0.585	0.046	0	IFN Mac	PILRA																															
CD6.3	0	1.365910927	0.501	0.092	0	CD4+ TH1	CD6																															
STX7	1.52E-195	1.365734748	0.712	0.166	5.88E-191	GC B	STX7																															
IL32.10	0	1.364201194	0.913	0.42	0	CD8+ TEX	IL32																															
ARHGDIB.14	0	1.362863553	0.906	0.461	0	Prolif T	ARHGDIB																															
GSN.22	0	1.3627722	0.844	0.299	0	LAM2	GSN																															
LILRB1.3	0	1.362382858	0.449	0.038	0	Mono-like Mac	LILRB1																															
RAB31.4	8.83E-171	1.362333337	0.486	0.184	3.41E-166	Inflam Mac	RAB31																															
CD52.6	0	1.360844242	0.856	0.336	0	CD4+ TH1	CD52																															
CD163.1	0	1.360771909	0.501	0.05	0	Mono-like Mac	CD163																															
TRBC1.11	0	1.360371248	0.553	0.14	0	Prolif T	TRBC1																															
SEC61B.2	5.30E-72	1.360279731	0.824	0.551	2.05E-67	Plasmablast	SEC61B																															
SRGN.25	0	1.359116162	0.921	0.421	0	IFN Mac	SRGN																															
G0S2.2	0	1.358970621	0.375	0.067	0	LAM2	G0S2																															
ATF3	0	1.35889323	0.505	0.126	0	Mono-like Mac	ATF3																															
CLEC2D.1	0	1.357987923	0.527	0.137	0	CD4+ TH1	CLEC2D																															
HIST1H1D	0	1.357364709	0.326	0.046	0	Prolif T	HIST1H1D																															
IL2RB.1	0	1.357220443	0.459	0.08	0	CD4+ TREG	IL2RB																															
GPR183.3	0	1.356880242	0.563	0.117	0	Mono-like Mac	GPR183																															
STK17B.2	0	1.355930234	0.588	0.218	0	CD4+ TREG	STK17B																															
SIRPG.1	0	1.355640745	0.43	0.064	0	CD4+ TH1	SIRPG																															
GNG5.14	4.75E-168	1.355585513	0.932	0.54	1.84E-163	mRegDC	GNG5																															
S100A8.3	0	1.355374998	0.556	0.119	0	Inflam Mac	S100A8																															
CD80.1	0	1.355218197	0.511	0.012	0	mRegDC	CD80																															
SCIMP.1	0	1.355176012	0.536	0.031	0	GC B	SCIMP																															
CPVL.2	0	1.355019056	0.535	0.071	0	Mono-like Mac	CPVL																															
HLA-DMB.17	2.47E-263	1.353803279	0.759	0.118	9.54E-259	AXL_DC	HLA-DMB																															
CORO1B	0	1.352361789	0.605	0.294	0	CD4+ TFH	CORO1B																															
HLA-DQB2.6	0	1.352167883	0.292	0.028	0	mRegDC	HLA-DQB2																															
ZWINT	0	1.352133437	0.515	0.048	0	Prolif T	ZWINT																															
SAMSN1.7	1.27E-189	1.351510219	0.445	0.14	4.91E-185	Inflam Mac	SAMSN1																															
SYTL3	0	1.351051857	0.378	0.077	0	CD8+ TEX	SYTL3																															
CD86.3	0	1.350105122	0.613	0.054	0	IFN Mac	CD86																															
TPX2	0	1.35000639	0.462	0.046	0	Prolif T	TPX2																															
